row status,DOCUMENTED STATUS,title,requested,image_html,image_link,image_link_title,reference_image_url,reference_image_title,video_link,status,topic,noun_project,team,description,body,social_tags,event
,,Balanced Budget,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Citizen,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Economy,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Election,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Free Speech,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Government,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Town Hall Meeting,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Voting,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Ballot,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Bill (noun),n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Caucus,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,E-Petition,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Elected Official,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Free Press,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Freedom of Information Act,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,I Voted,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Legal System,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,March,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Online Forum,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Opinion Poll,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Petition,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Polling Place,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Protest,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public Hearing,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public Space,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Union,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Voter Registration,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Webcast,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Early voting,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Registration card,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Absentee ballot/voting,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,"Political Party - GOP, Dem, Green, Ind ...",y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Congress,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Senate,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Legislature,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,State Gov/Level,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Federal Gov/Level,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Separation of powers,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,County gov/level,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,City gov/level,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Local gov/level,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Elected/Public Office,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Court,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,subpoena,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,summons,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Judge,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Lawyer,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Representative,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Law,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Mayor,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Secretary,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public domain,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public data/information,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Immigration,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Passport,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Gov/Public Agency,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Law enforcement,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Taxes,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public service,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Library,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,School District,n,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Public/Private ownership,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy
,,Budget,y,,,,,,,Not started,Democracy,,,,,"democracy, codeforamerica, nounproject, iconathonchi, iconathon",Iconathon Fall 2011: Chicago Democracy