"row status","DOCUMENTED STATUS","title","requested","image_html","image_link","image_link_title","reference_image_url","reference_image_title","video_link","status","topic","noun_project","team","description","body","social_tags","event"
,,"Obesity",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Diabetes",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Climb stairs",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Play sports",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fitness",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Whole food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Kid-friendly",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Nutrition",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Ride bikes",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Calorie info",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Sleep",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fatty foods",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Healthy/nutritious",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dinner",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Nutrition info",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Time in front of tv",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Healthy student",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Exercise",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fresh food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Time online",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Sugar",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Computer games",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"School lunch",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Soda",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Junk food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fruits & veggies",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Drop-in class",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Basketball",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dancing",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Bike",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Kids",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dogs",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Showers",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Walking",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Swimming",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Running",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Tennis",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Playing fields",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Public/private outdoor space",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Bike rack",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Physical activity",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Ball sports",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Martial arts",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Night",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Day",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Indoor outdoor",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dog-friendly",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Singles-friendly",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Family-friendly",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Place to be active",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Incentive for kid to be healthy",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Preventative health care",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"A walk",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Mental health counselling",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Pregnancy check up",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Hiv check up",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Corner store",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Store",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Microwave",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Heating plate",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Cold cereal (less than 7g sugar)",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Milk",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Skim milk",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Healthy food access",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,,,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Unsweetened personal-sized drinks",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"High quality vegetables",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Cheap, non-nutritious processed packaged food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Heart disease",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Nutrition education",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Full sized loaf of bread",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dairy",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Grain",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Beverage",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Frozen vegetable",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Canned vegetable",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fresh fruit",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fresh vegetable",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Spinach",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Green beans",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Peas",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Broccoli",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Bottle water",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Seltzer",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Soda water",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"100% juice",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Unsweetened iced tea",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Brown rice",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Rolled oats",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Crackers",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Popped popcorn",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Corn tortillas",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fresh fruit",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Dried fruit",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Nuts",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Pumpkin seeds",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Sunflower seeds",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Cabbage",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Lettuce",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Bananas",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Apples",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Oranges",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Broccoli",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Cigarettes",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Alcohol",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"EBT/WIC",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Ads for junk food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Ads for healthy food",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Produce",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Spaghetti",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Mac & cheese",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Homemade",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"This food is OK",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"High glycemic index",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Low glycemic index",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Wellness",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Stress",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Fish",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Waterflow",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Networked gardens",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Sensor",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Good cholesterol",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Swap this for that",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
,,"Exchange",,,,,,,,"Not Started","Food & Nutrition",,,,,"Summer of Smart, GAFFTA, Public Health, Food & Nutrition","Summer of Smart Public Health, Nutrition & Urban Ag"
